Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,Memory Type _ 1,Memory Address,
B0161,EQP,,Boolean,,,,,,,,,,,,B,353,B161
B0162,EQP,,Boolean,,,,,,,,,,,,B,354,B162
B0163,EQP,,Boolean,,,,,,,,,,,,B,355,B163
B0164,EQP,,Boolean,,,,,,,,,,,,B,356,B164
B0165,EQP,,Boolean,,,,,,,,,,,,B,357,B165
B0166,EQP,,Boolean,,,,,,,,,,,,B,358,B166
B0167,EQP,,Boolean,,,,,,,,,,,,B,359,B167
B0168,EQP,,Boolean,,,,,,,,,,,,B,360,B168
B0169,EQP,,Boolean,,,,,,,,,,,,B,361,B169
B016A,EQP,,Boolean,,,,,,,,,,,,B,362,B16A
B016B,EQP,,Boolean,,,,,,,,,,,,B,363,B16B
B016C,EQP,,Boolean,,,,,,,,,,,,B,364,B16C
B016D,EQP,,Boolean,,,,,,,,,,,,B,365,B16D
B016E,EQP,,Boolean,,,,,,,,,,,,B,366,B16E
B016F,EQP,,Boolean,,,,,,,,,,,,B,367,B16F
B0170,EQP,,Boolean,,,,,,,,,,,,B,368,B170
B0171,EQP,,Boolean,,,,,,,,,,,,B,369,B171
B0172,EQP,,Boolean,,,,,,,,,,,,B,370,B172
B0173,EQP,,Boolean,,,,,,,,,,,,B,371,B173
B0174,EQP,,Boolean,,,,,,,,,,,,B,372,B174
B0175,EQP,,Boolean,,,,,,,,,,,,B,373,B175
B0176,EQP,,Boolean,,,,,,,,,,,,B,374,B176
B0177,EQP,,Boolean,,,,,,,,,,,,B,375,B177
B0178,EQP,,Boolean,,,,,,,,,,,,B,376,B178
B0179,EQP,,Boolean,,,,,,,,,,,,B,377,B179
B017A,EQP,,Boolean,,,,,,,,,,,,B,378,B17A
B017B,EQP,,Boolean,,,,,,,,,,,,B,379,B17B
B017C,EQP,,Boolean,,,,,,,,,,,,B,380,B17C
B017D,EQP,,Boolean,,,,,,,,,,,,B,381,B17D
B017E,EQP,,Boolean,,,,,,,,,,,,B,382,B17E
B017F,EQP,,Boolean,,,,,,,,,,,,B,383,B17F
